0|0|53|2013-01-01
0|251|2|2013-02-01
0|263|13|2013-03-01
0|215|19|2013-04-01
0|222|72|2013-05-01
0|23|53|2013-06-01
0|41|32|2013-07-01
0|35|21|2013-08-01
0|9|69|2013-09-01
0|80|53|2013-10-01
0|224|67|2013-11-01
0|217|35|2013-12-01
0|32|38|2014-01-01
0|185|37|2014-02-01
0|242|67|2014-03-01
0|14|64|2014-04-01
0|57|5|2014-05-01
0|94|95|2014-06-01
0|7|53|2014-07-01
0|138|97|2014-08-01
0|279|99|2014-09-01
0|4|89|2014-10-01
0|87|61|2014-11-01
0|162|53|2014-12-01
1|39|28|2013-01-01
1|110|48|2013-02-01
1|277|35|2013-03-01
1|118|87|2013-04-01
1|36|65|2013-05-01
1|273|5|2013-06-01
1|57|36|2013-07-01
1|237|75|2013-08-01
1|124|69|2013-09-01
1|206|60|2013-10-01
1|101|36|2013-11-01
1|170|28|2013-12-01
1|60|92|2014-01-01
1|9|2|2014-02-01
1|215|36|2014-03-01
1|93|40|2014-04-01
1|278|9|2014-05-01
1|284|27|2014-06-01
1|5|28|2014-07-01
1|213|33|2014-08-01
1|196|98|2014-09-01
1|200|65|2014-10-01
1|277|68|2014-11-01
1|244|41|2014-12-01
2|79|3|2013-01-01
2|270|94|2013-02-01
2|291|57|2013-03-01
2|22|55|2013-04-01
2|152|59|2013-05-01
2|222|57|2013-06-01
2|73|39|2013-07-01
2|138|27|2013-08-01
2|240|70|2013-09-01
2|30|67|2013-10-01
2|278|4|2013-11-01
2|124|21|2013-12-01
2|87|44|2014-01-01
2|134|68|2014-02-01
2|188|6|2014-03-01
2|172|16|2014-04-01
2|199|14|2014-05-01
2|174|60|2014-06-01
2|2|4|2014-07-01
2|287|70|2014-08-01
2|113|96|2014-09-01
2|95|40|2014-10-01
2|166|75|2014-11-01
2|25|29|2014-12-01
3|118|80|2013-01-01
3|130|40|2013-02-01
3|5|79|2013-03-01
3|226|22|2013-04-01
3|267|52|2013-05-01
3|171|9|2013-06-01
3|89|43|2013-07-01
3|39|81|2013-08-01
3|54|71|2013-09-01
3|156|74|2013-10-01
3|154|73|2013-11-01
3|78|14|2013-12-01
3|115|97|2014-01-01
3|259|33|2014-02-01
3|161|77|2014-03-01
3|251|93|2014-04-01
3|119|19|2014-05-01
3|63|93|2014-06-01
3|300|80|2014-07-01
3|60|6|2014-08-01
3|29|94|2014-09-01
3|291|15|2014-10-01
3|55|83|2014-11-01
3|107|18|2014-12-01
4|158|55|2013-01-01
4|290|86|2013-02-01
4|19|0|2013-03-01
4|130|91|2013-04-01
4|82|46|2013-05-01
4|120|61|2013-06-01
4|105|46|2013-07-01
4|241|33|2013-08-01
4|169|72|2013-09-01
4|282|80|2013-10-01
4|31|42|2013-11-01
4|32|7|2013-12-01
